X,Y,FID,OGF_ID,MOH_PRO_ID,SERV_TYPE,SERV_DET,EN_NAME,FR_NAME,EN_ALT,FR_ALT,ADDRESS_1,ADDRESS_2,ADDR_DESCR,COMMUNITY,POSTALCODE,GEO_UPT_DT,EFF_DATE
-80.280651727,43.176834059,28,172383507,5490630,Pharmacy,RP,Brant Pharmacy, , , ,265 King George Road,Unit 104, ,Brantford,N3R5L5,20220428140049,20220426153746
-79.2037292379999,43.784365016,29,172383480,5440196,Pharmacy,RP,Food Basics Pharmacy #587, , , ,2900 Ellesmere Road, , ,Toronto,M1E4B8,20220428135939,20220426153739
-77.141098852,45.8320704610001,30,172386730,N0062,Retirement Home, ,Chartwell Pembroke Heritage Retirement Residence, , , ,1111 Pembroke Street, , ,Pembroke,K8A8P6,20220428140111,20220426154707
-79.2884857729999,43.868849927,31,172380902,83876,Pharmacy,RP,Wal-Mart Pharmacy, , , ,5000 Highway  7, , ,Markham,L3R4M9,20220428135951,20220426153059
-79.324858169,43.6898712940001,32,172379500,4123,Laboratory - Hospital,Hospital Laboratory - Teaching Hospital(Urban),Toronto East General Hospital, ,"Michael Garron Hospital, Toronto East Health Network", ,825 Coxwell Avenue, , ,Toronto,M4C3E7,20220428140043,20220428114259
-75.7711710579999,45.370497943,33,172384853,7232274,Pharmacy,RP,Carlingwood Pharmacy, , , ,356 Woodroffe Avenue,Unit A, ,Ottawa,K2A3V6,20220428140109,20220426154147
-89.254579166,48.41068296,34,172388100,4586,Community Support Service,Site,Saint Elizabeth Health Care -Thunder Bay, ,THUNDER BAY Saint Elizabeth Health, ,920 Tungsten Street,Suite 103, ,Thunder Bay,P7B5Z6,20220428140002,20220428112908
-79.384046585,43.664336887,35,172380427,16670,Mental Health and Addiction Organization,Mental Health Services,Reconnect Community Health Services, , , ,543 Young Street,Suite 439,Practice Location,Toronto,M4Y1Y5,20220428135935,20220426152915
-79.567455842,43.643880675,36,172388779,M612,Long-Term Care Home,Non-Profit,Wesburn Manor, , , ,400 The West Mall, , ,Toronto,M9C5S1,20220428135916,20220426155142
-79.686430249,44.410754002,37,172377654,9000000108,AIDS Bureau,"AT site, HIV POC Testing",Simcoe Muskoka District Health Unit, , , ,15 Sperling Drive, ,Practice Location,Barrie,L4M6K9,20220428140040,20220426161834
-79.628938455,43.569453159,38,172382388,3616073,Pharmacy,RP,Parkerhill Pharmacy, , , ,Dundas Street West,"Unit A, 6 255", ,Mississauga,L5B3B2,20220428140105,20220426153416
-80.6501632489999,44.31785854,39,172379079,4153,Laboratory - Hospital,Hospital Laboratory - Rural Hospital,Grey Bruce Health Services, ,Grey Bruce Health Services - Markdale Site, ,55 Isla Street, , ,Markdale,N0C1H0,20220428140025,20220428095628
-82.934609976,42.305664376,40,172378647,9912394,Independent Health Facility,"Radgrhy, Gen Ultrasound, Mamm",Rampure Radiology Associates Inc., ,Rampure Radiology Associates Inc., ,2825 Lauzon Parkway,Unit 213,Practice Location,Windsor,N8T3H5,20220428140005,20220426152518
-79.4822749209999,43.7175326920001,41,172388555,909,Long-Term Care Home,For-Profit,North Park Nursing Home, , , ,450 Rustic Road, , ,Toronto,M6L1W9,20220428140056,20220426155113
-79.243402494,43.1230912980001,42,172377376,10000000080,Hospital - Corporation, ,Hotel Dieu Shaver Health and Rehabilitation Centre (Religions Hospital of St. Joseph), ,Hotel Dieu Shaver Health and Rehabilitation Centre, ,541 Glenridge Avenue, , ,St. Catharines,L2S3A1,20220428140022,20220426152137
-77.7877601119999,44.1238549400001,43,172386849,N0007,Retirement Home, ,Golden Pond Retirement Residence, , , ,387 Goodrich Road, , ,Codrington,K0K1R0,20220428140000,20220426154723
-81.241815511,42.9708552770001,44,172386853,S0386,Retirement Home, ,Grand Wood Park, , , ,81 Grand Avenue, , ,London,N6C1M2,20220428140036,20220426154724
-79.929572185,43.950366611,45,172380481,30053,Mental Health and Addiction Organization,Mental Health Services,Services and Housing In the Province (SHIP), , , ,19179 Centreville Creek Road, ,Practice Location,Caledon East,L7K2M3,20220428135920,20220426152924
-82.552272352,42.235113782,46,172384711,7065891,Pharmacy,RP,Comber Drug Store Ltd, , , ,6304 Main Street,Unit B, ,Comber,N0P1J0,20220428135941,20220426154121
-75.750056248,45.331294837,47,172383710,5771872,Pharmacy,RP,Woodroffe Pharmacy, , , ,1637 Woodroffe Avenue, , ,Ottawa,K2G1W2,20220428135925,20220426153822
-75.722432539,45.3377632400001,48,172383181,5015011,Pharmacy,RP,Costco Pharmacy #540, , , ,1849 Merivale Road, , ,Ottawa,K2G1E3,20220428135954,20220426153624
-80.91969356,43.5219712890001,49,172387923,4333,Community Support Service,Site,"Mornington, Ellice and Milverton Wheels to Meals", ,"PERTH EAST Mornington, Ellice", ,6124 Ana Street,General Delivery, ,Brunner,N0K1C0,20220428140020,20220428113025
-75.697434625,45.2705567290001,50,172385409,7890598,Pharmacy,RP,Loblaw Pharmacy #4253, , , ,671 River Road, , ,Ottawa,K1V2G2,20220428135926,20220426154335
-79.5504215509999,43.8049560040001,51,172379037,3928,Laboratory - Specimen Collection Centre,Specimen Collection Centre - Private SCC,Dynacare-Gamma Laboratory Partnership, ,Dynacare, ,8333 Weston Road,Suite 1B, ,Vaughan,L4L8E2,20220428135904,20220428100132
-83.002648193,42.2565053640001,52,172381848,2380435,Pharmacy,RP,Lifestyle Pharmacy & Candy Bar, , , ,3850 Dougall Avenue,Unit 11, ,Windsor,N9G1X2,20220428140010,20220426153303
-81.26483182,42.99317008,53,172379214,3517,Laboratory - Specimen Collection Centre,Specimen Collection Centre - Private SCC,LifeLabs LP, ,LifeLabs, ,279 Wharncliffe Road North, , ,London,N6H2C2,20220428135949,20220426161455
-76.0330418039999,44.89229175,54,172384490,6815333,Pharmacy,RP,Wal-Mart Pharmacy, , , ,114 Lombard Street, , ,Smiths Falls,K7A5B8,20220428140050,20220426154040
-82.6004861489999,42.031571344,55,172380943,192133,Pharmacy,LTCF,Franklin Gardens, , , ,Franklin Road,Long Term Care Home 24, ,Leamington,N8H3X4,20220428135906,20220426153102
-81.251969314,42.9713333760001,56,172378881,3004,Laboratory - Specimen Collection Centre,Specimen Collection Centre - Private SCC,Alpha Laboratories Incorporated, ,Alpha Laboratories Incorporated, ,190 Wortley Road,Suite 201, ,London,N6C3P7,20220428135918,20220428100124
-82.92388227,46.187442628,57,172380035,12720,Mental Health and Addiction Organization,Mental Health Services,Health Sciences North/ Horizon Santé-Nord, , , ,525 Causley Street,Blind River District Health Centre,Practice Location,Blind River,P0R1B0,20220428140007,20220426152822
-81.926445227,45.9780483490001,58,172377907,87,Family Health Team - Contract,Site,Northeastern Manitoulin Family Health Team, , , ,15 Meredith Street East,Postal Office Box 549, ,Little Current,P0P1K0,20220428135947,20220426161101
-79.6705104609999,47.5082172100001,59,172379641,3226,Mental Health and Addiction Organization,Addiction Services and Mental Health Services,Canadian Mental Health Association (CMHA) Cochrane Timiskaming Branch, , , ,20 May Street South,Centre de santé communautaire du Témiskaming,Practice Location,Temiskaming Shores,P0J1P0,20220428140025,20220426152728
-79.250716385,42.9904113740001,60,172379878,3066,Mental Health and Addiction Organization,Mental Health Services,Consumer/Survivor Initiative of Niagara, , , ,60 King Street,Suite 103,Administration and Practice Location,Welland,L3B6A4,20220428135905,20220426152800
-79.4041394979999,43.7354354990001,61,172381118,701636,Pharmacy,RP,Loblaw Pharmacy #1194, , , ,3501 Yonge Street, , ,Toronto,M4N2N5,20220428140009,20220426153125
-76.13677496,45.1411593880001,62,172378929,4241,Laboratory - Hospital,Hospital Laboratory - Rural Hospital,Carleton Place and District Memorial Hospital, ,Carleton Place and District Memorial Hospital, ,211 Lake Avenue East, , ,Carleton Place,K7C1J4,20220428135949,20220428094455
-78.943894561,43.8550568410001,63,172377606,9000000062,AIDS Bureau,"HCV Team, HIV Outpatient Clinic, HIV POC Testing","Lakeridge Health, Positive Care Clinic", , , ,300 Gordon Street, ,Practice Location,Whitby,L1N5T2,20220428135932,20220426161812
-78.74398984,44.338683534,64,172388761,M589,Long-Term Care Home,Non-Profit,Victoria Manor Home for the Aged, , , ,220 Angeline Street South, , ,Kawartha Lakes,K9V4R2,20220428140040,20220426155140
-75.755493851,45.342837939,65,172386775,N0410,Retirement Home, ,City View Retirement Community, , , ,151 Meadowlands Drive, , ,Ottawa,K2G2S3,20220428140112,20220426154713
-79.0882919059999,43.8340039300001,66,172380960,249555,Pharmacy,RP,Shoppers Drug Mart #618, , , ,1355 Kingston Road, , ,Pickering,L1V1B8,20220428135951,20220426153104
-79.4336708069999,43.7305439960001,67,172379584,3193,Mental Health and Addiction Organization,Mental Health Services,Baycrest Centre for Geriatric Care, , , ,3560 Bathurst Street, ,Administration and Practice Location,Toronto,M6A2E1,20220428140043,20220426152721
-79.4716943239999,43.7847425040001,68,172384934,7317156,Pharmacy,RP,Loblaw Pharmacy   #1033, , , ,51 Gerry Fitzgerald Drive, , ,Toronto,M3J3N4,20220428140109,20220426154204
-79.377707588,43.717948097,69,172388168,4857,Community Support Service,Site,Vision Loss Rehabilitation Canada - Toronto, ,TORONTO VLRC, ,1929 Bayview Avenue, , ,Toronto,M4G3E8,20220428140002,20220428113108
-82.422308915,49.4182958430001,70,172380488,4462,Mental Health and Addiction Organization,Mental Health Services,"Services de counselling de Hearst, Kapuskasing and Smooth Rock Falls Counselling Services", , , ,29 Byng Avenue,Suite 1,Practice Location,Kapuskasing,P5N1W6,20220428135935,20220426152926
-79.872194704,43.2505957910001,71,172378313,1664966,Independent Health Facility,"Gen Ultrasound, Radgrhy","Hamilton Diagnostic Services, X-Ray & Ultrasound", ,2215429 Ontario Ltd., ,200 James Street South,"Suite 305, and 309",Practice Location,Hamilton,L8P3A9,20220428135918,20220426152420
-80.255872316,43.1388190540001,72,172377722,9000000016,Community Health Centre,Site,Grand River Community Health Centre, , , ,363 Colborne Street, , ,Brantford,N3S3N2,20220428140040,20220426152241
-79.451237007,43.666470184,73,172382452,3752031,Pharmacy,RP,Symington Drugs, , , ,333 Symington Avenue, , ,Toronto,M6P3X1,20220428140105,20220426153424
-79.483524216,43.64918758,74,172378835,5881268,Independent Health Facility,"Fluorscpy, Mamm, Radgrhy, Gen Ultrasound, Vasc Utrasnd",West End Radiological Laboratories Limited, ,West End Radiological Laboratories Limited, ,2425 Bloor Street West,Suite 103,Practice Location,Toronto,M6S4W4,20220428140059,20220426152543
-75.711649242,45.409308352,75,172385278,7722958,Pharmacy,RP,Clinic Pharmacy An, , , ,829 Somerset Street West,Unit 100, ,Ottawa,K1R6R4,20220428140016,20220426154313
-79.35703262,46.224921721,76,172387334,9000000275,Senior Active Living Centre, ,Callander Elderly Persons Centre (Royal Canadian Legion Branch 445),Callander Elderly Persons Centre (Royal Canadian Legion Branch 445), , ,345 Lansdowne Street,"345, rue Lansdowne", ,Callander,P0H1H0,20220428135915,20220428132256
-80.436063898,43.428566996,77,172385329,7785033,Pharmacy,RP,Cook's Pharmacy, , , ,31 Kingsbury Drive,Unit 101, ,Kitchener,N2A2L9,20220428135958,20220426154320
-79.387100585,43.6524200850001,78,172381232,959653,Pharmacy,HOPD,Toronto General Hospital Phcy, , , ,University Avenue,University Health Network 585, ,Toronto,M5G2N2,20220428140028,20220426153140
-82.406461973,42.963422918,79,172381444,1379270,Pharmacy,HSC,Wallis Residential Home, , , ,307 Vidal Street South, , ,Sarnia,N7T2V1,20220428140009,20220426153209
-80.738504644,43.973851376,80,172377891,10,Family Health Team - Contract,Site,Mount Forest Family Health Team Inc., , , ,525 Dublin Street, , ,Mount Forest,N0G2L3,20220428135932,20220426161049
-82.386756771,43.004139126,81,172384026,6199758,Pharmacy,RP,Rexall #6914, , , ,697 Cathcart Boulevard, , ,Sarnia,N7V2N6,20220428140049,20220426153917
-79.447899859,46.311028831,82,172383831,5948111,Pharmacy,RP,Rexall #34, , , ,1205 Fisher Street, , ,North Bay,P1B2H2,20220428135940,20220426153848
-79.765133383,43.3984072220001,83,172381469,1418594,Pharmacy,RP,Carerx Burlington, , , ,1320 Heine Court, , ,Burlington,L7L6L9,20220428135907,20220426153212
-82.429080918,49.4248943430001,84,172377460,9999999990,Hospital - Corporation, ,Sensenbrenner Hospital, ,Sensenbrenner Hospital, ,101 Progress Crescent, , ,Kapuskasing,P5N3H5,20220428135947,20220426152149
-79.6587201409999,44.415029604,85,172379127,3016,Laboratory - Specimen Collection Centre,Specimen Collection Centre - Private SCC,LifeLabs LP, ,LifeLabs, ,1 Quarry Ridge Road, , ,Barrie,L4M7G1,20220428140006,20220428101300
-81.542768865,43.621745876,86,172379106,4124,Laboratory - Hospital,Hospital Laboratory - Rural Hospital,Huron Perth Healthcare Alliance, ,Huron Perth Healthcare Alliance - Clinton Site, ,98 Shipley Street, , ,Clinton,N0M1L0,20220428135934,20220428095413
-79.523266538,43.7557163970001,87,172382080,2989877,Pharmacy,RP,Oakdale Pharmacy, , , ,2065 Finch Avenue West, , ,Toronto,M3N2V7,20220428140047,20220426153335
-79.58646189,44.1086132550001,88,172381991,2756752,Pharmacy,RP,Pharmalink Ida Phamracy, , , ,456 Holland Street West,Unit 2, ,Bradford West Gwillimbury,L3Z0G1,20220428135937,20220426153322
-79.297610166,43.7594111080001,89,172383375,5296832,Pharmacy,RP,Costco Pharmacy #537, , , ,1411 Warden Avenue, , ,Toronto,M1R2S3,20220428135910,20220426153713
-79.447081817,43.791702006,90,172387864,4257,Community Support Service,Site,Bernard Betel Centre for Creative Living, ,TORONTO Bernard Betel Centre for, ,1003 Steeles Avenue West, , ,Toronto,M2R3T6,20220428140113,20220428113207
-79.914534816,43.231053586,91,172387270,S0010,Retirement Home, ,Villa Italia Retirement Residence, , , ,530 Upper Paradise Road, , ,Hamilton,L9C7W2,20220428135929,20220426154820
-79.4128902259999,44.0153537470001,92,172381172,823951,Pharmacy,RP,Wal-Mart Pharmacy, , , ,135 First Commerce Drive, , ,Aurora,L4G0G2,20220428135921,20220426153132
-79.233220094,43.167791406,93,172385129,7547791,Pharmacy,RP,Goldencare Pharmacy, , , ,264 Welland Avenue,Unit 102, ,St. Catharines,L2R2P8,20220428135912,20220426154244
-82.419782314,49.4149643420001,94,172388138,4806,Community Support Service,Site,Csc De Kapuskasing Et R�gion (Css), ,KAPUSKASING CSC, ,27 Avenue Kolb, , ,Kapuskasing,P5N1G2,20220428140038,20220428112747
-80.515670026,43.456333697,95,172386128,8677513,Pharmacy,RP,Spark Pharmacy, , , ,535 Park Street, , ,Kitchener,N2G1N8,20220428140111,20220426154546
-80.756412573,43.128767128,96,172380354,15218,Mental Health and Addiction Organization,Addiction Services and Mental Health Services,Oxford County Community Health Centre, , , ,35 Metcalf Street,Suite 301,Administration and Practice Location,Woodstock,N4S3E6,20220428135951,20220426152905
-80.498300026,43.5216089090001,97,172382780,4365074,Pharmacy,RP,Carriage Crossing Pharmacy, , , ,105 Oak Park Drive,Unit 4, ,Waterloo,N2K0B3,20220428135954,20220426153508
-79.7297342689999,43.3688013190001,98,172387153,S0170,Retirement Home, ,Sunrise of Burlington, , , ,5401 Lakeshore Road, , ,Burlington,L7L6S5,20220428140037,20220426154804
-79.772407146,45.134324421,99,172380867,9000000009,Nursing Station,Site,Mactier Health Centre, ,Wright Clinic (Rugged Shores Family Health), ,53 Haig Street, ,Practice Location,Mactier,P0C1H0,20220428135921,20220426153056
-79.2608942529999,43.7421385060001,100,172385103,7522193,Pharmacy,RP,Pharmazone Pharmacy, , , ,1069 Midland Avenue, , ,Toronto,M1K4G7,20220428135942,20220426154242
-82.205389661,42.4106969310001,101,172384228,6472391,Pharmacy,RP,Mcnaughton Pharmacy, , , ,180 Mcnaughton Avenue West,Unit 2, ,Chatham,N7L4Z7,20220428135925,20220426153955
-79.431488837,44.0714128560001,102,172379788,2622,Mental Health and Addiction Organization,Mental Health Services,Cedar Centre, , , ,17705 Leslie Street,Suite 12,Administration and Practice Location,Newmarket,L3Y3E3,20220428140101,20220426152748
-79.364265697,43.8720691240001,103,172386100,8647119,Pharmacy,RP,King Square Pharmacy, , , ,9390 Woodbine Avenue,Unit 1E3, ,Markham,L6C0M5,20220428140017,20220426154542
-79.446391203,43.6398947800001,104,172386255,8815437,Pharmacy,RP,Sunnyside Medical Pharmacy, , , ,29 Roncesvalles Avenue, , ,Toronto,M6R2K4,20220428135959,20220426154603
-78.221204633,45.0327359770001,105,172382053,2934034,Pharmacy,RP,Wilberforce Multicare Pharmacy, , , ,2165 Loop Road, , ,Tory Hill,K0L3C0,20220428140029,20220426153331
-79.447270437,44.0162779460001,106,172385601,8103651,Pharmacy,RP,Shoppers Drug Mart #1279, , , ,446 Hollandview Trail, , ,Aurora,L4G3H1,20220428140034,20220426154413
-79.269297603,43.131202998,107,172386023,8560274,Pharmacy,RP,Vansickle Pharmacy, , , ,10 Mac Turnbull Drive,Unit 11, ,St. Catharines,L2S3W5,20220428135913,20220426154522
-79.694145764,43.4419313330001,108,172377830,29,Family Health Team - Contract,Site,Dorval Medical Associates Family Health Team, , , ,465 Morden Road,Unit 104, ,Oakville,L6K3R9,20220428140058,20220426161035
-79.779061411,43.6667731690001,109,172384544,6880994,Pharmacy,RP,Sobeys Pharmacy #7221, , , ,8975 Chinguacousy Road, , ,Brampton,L6Y0J2,20220428135956,20220426154048
-81.764783506,46.2569619020001,110,172380281,30448,Mental Health and Addiction Organization,Addiction Services and Mental Health Services,Noojmowin Teg Health Centre, , , ,407 Centre Street, ,Practice Location,Espanola,P5E1J5,20220428140026,20220426152855
-81.3331300419999,42.998100777,111,172383329,5218196,Pharmacy,RP,Grace Drug Store, , , ,1070 Gainsborough Road, , ,London,N6H5L5,20220428135924,20220426153657
-79.421640396,43.649178283,112,172383748,5827796,Pharmacy,RP,Main Drug Mart, , , ,1169 Dundas Street West, , ,Toronto,M6J1X3,20220428140032,20220426153830
-79.353640076,43.6669836890001,113,172377804,105,Family Health Team - Contract,Site,Bridgepoint Family Health Team, , , ,430 Broadview Avenue, , ,Toronto,M4K2N1,20220428135902,20220426161010
-79.3958712049999,43.841637317,114,172383063,4821198,Pharmacy,RP,Royal Garden Pharmacy, , , ,370 Highway 7 East,Unit 111C, ,Richmond Hill,L4B0C4,20220428140012,20220426153557
-76.5751311289999,44.2550382160001,115,172387087,N0458,Retirement Home, ,Rosewood Retirement Residence, , , ,833 Sutton Mills Court, , ,Kingston,K7P2N9,20220428140054,20220426154755
-75.793279365,45.3600507400001,116,172387958,4376,Community Support Service,Site,The Olde Forge Community Resource Centre, ,OTTAWA The Olde Forge Community, ,2730 Carling Avenue, , ,Ottawa,K2B7J1,20220428135945,20220428113014
-79.7146616799999,43.5453644510001,117,172385653,8159976,Pharmacy,RP,Churchill Meadows Pharmacy, , , ,3050 Artesian Drive,Unit 5, ,Mississauga,L5M7P5,20220428140052,20220426154420
-81.399100329,46.6287945810001,118,172387475,9000000126,Senior Active Living Centre, ,Onaping Falls Golden Age Club,Onaping Falls Golden Age Club, , ,109 Service Road,"109, chemin Service", ,Onaping,P0M2R0,20220428140020,20220428132322
-79.0728810379999,43.104789802,119,172384801,7177878,Pharmacy,RP,Niagara Falls Pharmacy, , , ,4796 Victoria Avenue, , ,Niagara Falls,L2E4C3,20220428135926,20220426154143
-91.916792479,50.098225084,120,172379650,12095,Mental Health and Addiction Organization,Mental Health Services,Canadian Mental Health Association (CMHA) Fort Frances Branch, , , ,54 Front Street,"Suite 2C, 2nd Floor, Centennial Centre",Practice Location,Sioux Lookout,P8T1A5,20220428135905,20220426152729
-81.273733624,43.009597082,121,172381312,1194594,Pharmacy,RP,Western on Campus Pharmacy, , , ,University Western on Ucc Richmond Road,Building 1151, ,London,N6A3K7,20220428140009,20220426153151
-75.6879169329999,45.395670151,122,172381058,522857,Pharmacy,RP,The Prescription Shop, , , ,Colonel by Drive,Carleton University 1125, ,Ottawa,K1S5R1,20220428140045,20220426153117
-79.573118544,43.653191576,123,172381877,2462150,Pharmacy,RP,Healthplex Pharmacy, , , ,452 Rathburn Road,Unit 2, ,Toronto,M9C3S8,20220428135922,20220426153307
-79.7482930039999,43.6956589750001,124,172384302,6570953,Pharmacy,RP,Kennedy Medical Plex Pharmacy, , , ,2 Kennedy Road South,Unit 7, ,Brampton,L6W3E1,20220428135911,20220426154013
-77.3647111779999,44.1632789660001,125,172380419,2675,Mental Health and Addiction Organization,Mental Health Services,Quinte Health Care, , , ,265 Dundas Street East,Unit WCA4,Administration and Practice Location,Belleville,K8N5A9,20220428140044,20220426152914
-83.7884032589999,46.3030067980001,126,172386943,N0146,Retirement Home, ,Light-Haven Home Inc., , , ,38 Desbarats Street, , ,Bruce Mines,P0R1C0,20220428140112,20220426154736
-79.291534169,43.8139148170001,127,172381202,889952,Pharmacy,RP,Evergold Pharmacy, , , ,3833 Midland Avenue,Unit 33, ,Toronto,M1V5L6,20220428135952,20220426153136
-79.9567788159999,43.077099257,128,172379846,2350,Mental Health and Addiction Organization,Addiction Services and Mental Health Services,Community Addiction and Mental Health Services of Haldimand and Norfolk, , , ,103 Inverness Street, ,Practice Location,Caledonia,N3W1B5,20220428140043,20220426152756
-79.616740352,43.581105662,129,172385194,7612238,Pharmacy,RP,Midnite Pharmacy, , , ,3025 Hurontario Street, , ,Mississauga,L5A2H1,20220428140109,20220426154251
-79.921456419,43.2372528870001,130,172388343,2858,Long-Term Care Home,For-Profit,Extendicare Hamilton, , , ,90 Chedmac Drive, , ,Hamilton,L9C7S6,20220428140002,20220426155045
-93.60574442,48.6194399670001,131,172380659,2398,Mental Health and Addiction Organization,Mental Health Services,Weechi-it-te-win Family Services Inc., , , ,71 McTavish Road, ,Practice Location,Devlin,P0W1C0,20220428135936,20220426153007
